method,variant,noise_family,energy,seed
RL,untwirled,clean,0.24807298716783788,0
RL,untwirled,depolarizing,0.24807298716783788,0
RL,untwirled,amplitude_damping,0.24807298721036564,0
RL,untwirled,coherent_overrotation,0.2480729887961296,0
RL,untwirled,readout,0.7199689944489798,0
RL,mitigated,clean,0.24807381392822678,0
RL,mitigated,depolarizing,-0.22382205463029584,0
RL,mitigated,amplitude_damping,0.3267228566042662,0
RL,mitigated,coherent_overrotation,0.2480738163559704,0
RL,mitigated,readout,0.6305137507830346,0
RL,untwirled,clean,0.24807298716783788,1
RL,untwirled,depolarizing,0.24807298716783788,1
RL,untwirled,amplitude_damping,0.7199689944489798,1
RL,untwirled,coherent_overrotation,0.24807298879612977,1
RL,untwirled,readout,0.7199689944489798,1
RL,mitigated,clean,0.24807257458208187,1
RL,mitigated,depolarizing,0.7843164327152303,1
RL,mitigated,amplitude_damping,0.20875015858439133,1
RL,mitigated,coherent_overrotation,0.24807528876180562,1
RL,mitigated,readout,0.39695403269130003,1
RL,untwirled,clean,0.24807298716783788,2
RL,untwirled,depolarizing,0.24807298716783788,2
RL,untwirled,amplitude_damping,0.7199689944489798,2
RL,untwirled,coherent_overrotation,0.2480729887961296,2
RL,untwirled,readout,0.24807298716783788,2
RL,mitigated,clean,0.24807505446089642,2
RL,mitigated,depolarizing,0.504004128026262,2
RL,mitigated,amplitude_damping,0.08148726607692142,2
RL,mitigated,coherent_overrotation,0.24807410694258902,2
RL,mitigated,readout,0.09571610146388675,2
RL,untwirled,clean,0.24807298716783788,3
RL,untwirled,depolarizing,0.7199689944489798,3
RL,untwirled,amplitude_damping,0.7199689944489798,3
RL,untwirled,coherent_overrotation,0.24807298879612977,3
RL,untwirled,readout,0.24807298716783788,3
RL,mitigated,clean,0.24807160989950044,3
RL,mitigated,depolarizing,-0.22382205463599944,3
RL,mitigated,amplitude_damping,-0.007435825922128628,3
RL,mitigated,coherent_overrotation,0.24807257501134525,3
RL,mitigated,readout,1.2886743680636397,3
RL,untwirled,clean,0.24807298716783788,4
RL,untwirled,depolarizing,0.7199689944489798,4
RL,untwirled,amplitude_damping,0.24807298721036566,4
RL,untwirled,coherent_overrotation,0.24807298879612955,4
RL,untwirled,readout,0.24807298716783788,4
RL,mitigated,clean,0.24807229754290214,4
