method,variant,noise_family,rate,energy,seed
RL,untwirled,depolarizing,0.0,0.24807298716783788,0
RL,untwirled,depolarizing,0.01,0.24807298716783788,0
RL,untwirled,depolarizing,0.02,0.24807298716783788,0
RL,untwirled,depolarizing,0.05,0.24807298716783788,0
RL,untwirled,depolarizing,0.1,0.7199689944489798,0
RL,untwirled,amplitude_damping,0.0,0.24807298716783788,0
RL,untwirled,amplitude_damping,0.01,0.24807298717830928,0
RL,untwirled,amplitude_damping,0.02,0.24807298721036564,0
RL,untwirled,amplitude_damping,0.05,0.24807298744628498,0
RL,untwirled,amplitude_damping,0.1,0.24807298837506708,0
RL,untwirled,coherent_overrotation,0.0,0.24807298716783788,0
RL,untwirled,coherent_overrotation,0.01,0.24807298757501134,0
RL,untwirled,coherent_overrotation,0.02,0.24807298879612982,0
RL,untwirled,coherent_overrotation,0.05,0.24807299732707352,0
RL,untwirled,coherent_overrotation,0.1,0.24807302755476623,0
RL,untwirled,readout,0.0,0.24807298716783788,0
RL,untwirled,readout,0.01,0.24807298716783788,0
RL,untwirled,readout,0.02,0.24807298716783788,0
RL,untwirled,readout,0.05,0.7199689944489798,0
RL,untwirled,readout,0.1,-0.5246155553643469,0
RL,mitigated,depolarizing,0.0,0.2480735388734327,0
RL,mitigated,depolarizing,0.01,0.8379405092533356,0
RL,mitigated,depolarizing,0.02,0.20874901031948653,0
RL,mitigated,depolarizing,0.05,1.2100271284783417,0
RL,mitigated,depolarizing,0.1,0.2669029277666734,0
RL,mitigated,amplitude_damping,0.0,0.2480747750455302,0
RL,mitigated,amplitude_damping,0.01,0.24807229670990977,0
RL,mitigated,amplitude_damping,0.02,0.6806446115046952,0
RL,mitigated,amplitude_damping,0.05,0.4053719544129682,0
RL,mitigated,amplitude_damping,0.1,0.4254721864613256,0
RL,mitigated,coherent_overrotation,0.0,0.2480740917575674,0
RL,mitigated,coherent_overrotation,0.01,0.24807409548379733,0
RL,mitigated,coherent_overrotation,0.02,0.24807449742150406,0
RL,mitigated,coherent_overrotation,0.05,0.2480753840711789,0
RL,mitigated,coherent_overrotation,0.1,0.2480737230123201,0
RL,mitigated,readout,0.0,0.24807629737431558,0
RL,mitigated,readout,0.01,0.847424729306532,0
RL,mitigated,readout,0.02,-0.0773297320059577,0
RL,mitigated,readout,0.05,-0.09771809423699075,0
RL,mitigated,readout,0.1,1.9385527048041689,0
RL,untwirled,depolarizing,0.0,0.24807298716783788,1
RL,untwirled,depolarizing,0.01,0.24807298716783788,1
RL,untwirled,depolarizing,0.02,0.24807298716783788,1
RL,untwirled,depolarizing,0.05,-0.34368435558011534,1
RL,untwirled,depolarizing,0.1,0.24807298716783788,1
RL,untwirled,amplitude_damping,0.0,0.24807298716783788,1
RL,untwirled,amplitude_damping,0.01,0.24807298717830928,1
RL,untwirled,amplitude_damping,0.02,0.24807298721036564,1
RL,untwirled,amplitude_damping,0.05,0.24807298744628498,1
RL,untwirled,amplitude_damping,0.1,0.7199689944481243,1
RL,untwirled,coherent_overrotation,0.0,0.24807298716783788,1
RL,untwirled,coherent_overrotation,0.01,0.24807298757501148,1
RL,untwirled,coherent_overrotation,0.02,0.2480729887961296,1
RL,untwirled,coherent_overrotation,0.05,0.24807299732707375,1
RL,untwirled,coherent_overrotation,0.1,0.248073027554764,1
