method,mean_best,std_best,n_seeds
Adversarial,-1.1373039960861206,3.4841757320654995e-06,5
QuantumNAS,-1.1373056173324585,4.264961199760036e-07,5
RL,-1.1169980269212023,3.928764212357549e-06,5
