group,run,seed,clean_fidelity,attacked_mean,attacked_std,attacked_min,attacked_max,n_attacks_evaluated,circuit_path
architect_baseline,baseline,,0.481693709269166,0.4332115094680339,0.010350720314569344,0.38920728676021094,0.4662475287914276,3000,baseline/circuit_vanilla.json
quantumnas,quantumnas,,0.9999997615814207,0.8597534194977388,0.040339036663725805,0.7489203363656995,0.9666665643453596,575,quantumnas/circuit_quantumnas.json
