run_idx,circuit_type,attacked_fidelity
0,vanilla,0.965907096862793
0,vanilla,0.9802167415618896
0,vanilla,0.9743812680244446
0,vanilla,0.9462482929229736
0,vanilla,0.9659838080406189
0,vanilla,0.9475656747817993
0,vanilla,0.9815086126327515
0,vanilla,0.9456309676170349
0,vanilla,0.9704517722129822
0,vanilla,0.9474347233772278
0,vanilla,0.9495550990104675
0,vanilla,0.9506463408470154
0,vanilla,0.9659095406532288
0,vanilla,0.9517841339111328
0,vanilla,0.9653440117835999
0,vanilla,0.965303361415863
0,vanilla,0.9743096232414246
0,vanilla,0.955128014087677
0,vanilla,0.940597653388977
0,vanilla,0.9614979028701782
0,vanilla,0.9737029075622559
0,vanilla,0.9639390110969543
0,vanilla,0.9627661108970642
0,vanilla,0.9730612635612488
0,vanilla,0.9736671447753906
0,vanilla,0.97176194190979
0,vanilla,0.9595099687576294
0,vanilla,0.9685250520706177
0,vanilla,0.9808427691459656
0,vanilla,0.9755975008010864
0,vanilla,0.946225643157959
0,vanilla,0.9588872194290161
0,robust,0.9418121576309204
0,robust,0.9467598795890808
0,robust,0.9463149309158325
0,robust,0.9400542974472046
0,robust,0.9524256587028503
0,robust,0.9350054860115051
0,robust,0.9543628692626953
0,robust,0.9556782841682434
0,robust,0.9293527603149414
0,robust,0.9324170351028442
0,robust,0.9684506058692932
0,robust,0.9443525075912476
0,robust,0.9487467408180237
0,robust,0.9250624775886536
0,robust,0.9537360668182373
0,robust,0.9769256711006165
0,robust,0.9614291787147522
0,robust,0.921423614025116
0,robust,0.9487438797950745
0,robust,0.9640135765075684
0,robust,0.9691601991653442
0,robust,0.932392418384552
0,robust,0.9431000351905823
0,robust,0.9512513279914856
0,robust,0.9349073171615601
0,robust,0.963351309299469
0,robust,0.94682776927948
0,robust,0.9183627367019653
0,robust,0.9129815101623535
0,robust,0.9106102585792542
0,robust,0.9280930161476135
0,robust,0.9417356252670288
