clean_energy,worst_energy,hf,fci,method
0.6362677262171227,0.9922072704750007,-7.8618647698086574,-0.06590926466153926,RL
0.6362677262171227,0.20866640961148886,-7.8618647698086574,-0.06590926466153926,RL
0.9922072704750007,0.9922072704750007,-7.8618647698086574,-0.06590926466153926,RL
0.6362677262171227,0.9922072704750007,-7.8618647698086574,-0.06590926466153926,RL
0.9922072704750007,0.9922072704750007,-7.8618647698086574,-0.06590926466153926,RL
-0.06564535200595856,-0.0480099655687809,-7.8618647698086574,-0.06590926466153926,HEA adversarial
-0.06590639054775238,-0.04825795441865921,-7.8618647698086574,-0.06590926466153926,HEA adversarial
-0.06590897589921951,-0.0482604056596756,-7.8618647698086574,-0.06590926466153926,HEA adversarial
0.012323366478085518,0.0260603167116642,-7.8618647698086574,-0.06590926466153926,HEA adversarial
-0.06589867919683456,-0.04825062304735184,-7.8618647698086574,-0.06590926466153926,HEA adversarial
-0.06564520103159957,-0.06564520103159957,-7.8618647698086574,-0.06590926466153926,Architect adversarial
-0.0656452010316006,-0.06564520103159957,-7.8618647698086574,-0.06590926466153926,Architect adversarial
-0.0656452010316013,0.012571360710938676,-7.8618647698086574,-0.06590926466153926,Architect adversarial
-0.06564520103160061,-0.06564520103159957,-7.8618647698086574,-0.06590926466153926,Architect adversarial
-0.06564520103159957,-0.06564520103159957,-7.8618647698086574,-0.06590926466153926,Architect adversarial
