method,variant,noise_family,energy,seed
HEA adversarial,untwirled,clean,-1.1372646784972649,0
HEA adversarial,untwirled,depolarizing,-1.1372646784972649,0
HEA adversarial,untwirled,amplitude_damping,-1.1361306703662495,0
HEA adversarial,untwirled,coherent_overrotation,-1.0909324028670992,0
HEA adversarial,untwirled,readout,-0.14572499973122516,0
HEA adversarial,twirled,clean,0.1707601690174106,0
HEA adversarial,twirled,depolarizing,-0.1387660055917401,0
HEA adversarial,twirled,amplitude_damping,0.014688347245706973,0
HEA adversarial,twirled,coherent_overrotation,-0.4314567505026455,0
HEA adversarial,twirled,readout,0.1594529971860576,0
HEA adversarial,untwirled,clean,-1.1373058525435655,1
HEA adversarial,untwirled,depolarizing,-1.1373058525435655,1
HEA adversarial,untwirled,amplitude_damping,-1.1368621109805699,1
HEA adversarial,untwirled,coherent_overrotation,-1.1215416016407327,1
HEA adversarial,untwirled,readout,-1.137305855730548,1
HEA adversarial,twirled,clean,0.35540199118384225,1
HEA adversarial,twirled,depolarizing,-0.3949663173463629,1
HEA adversarial,twirled,amplitude_damping,-0.5245817509977871,1
HEA adversarial,twirled,coherent_overrotation,0.22961211077004404,1
HEA adversarial,twirled,readout,-0.5246155200031738,1
Architect adversarial,untwirled,clean,-1.1169989967540044,0
Architect adversarial,untwirled,depolarizing,-1.1169989967540044,0
Architect adversarial,untwirled,amplitude_damping,-1.1169989967540044,0
Architect adversarial,untwirled,coherent_overrotation,-1.1169989967540042,0
Architect adversarial,untwirled,readout,-1.1169989967540044,0
Architect adversarial,twirled,clean,-0.34368435558011556,0
Architect adversarial,twirled,depolarizing,-0.524615555364347,0
Architect adversarial,twirled,amplitude_damping,-0.3436843555801157,0
Architect adversarial,twirled,coherent_overrotation,0.9342472328684528,0
Architect adversarial,twirled,readout,0.7199689944489803,0
Architect adversarial,untwirled,clean,-1.1169989967540044,1
Architect adversarial,untwirled,depolarizing,-1.1169989967540044,1
Architect adversarial,untwirled,amplitude_damping,-1.1169989967540044,1
Architect adversarial,untwirled,coherent_overrotation,-1.1169989967540037,1
Architect adversarial,untwirled,readout,-0.44066274330878447,1
Architect adversarial,twirled,clean,-0.5246155553643472,1
Architect adversarial,twirled,depolarizing,-0.5246155553643472,1
Architect adversarial,twirled,amplitude_damping,-0.5363700785542702,1
Architect adversarial,twirled,coherent_overrotation,0.36664389034182543,1
Architect adversarial,twirled,readout,-0.5246155553643472,1
