method,variant,noise_family,rate,energy,seed
Architect adversarial,untwirled,depolarizing,0.0,-1.116998996754004,0
Architect adversarial,untwirled,depolarizing,0.01,-1.116998996754004,0
Architect adversarial,untwirled,depolarizing,0.02,-1.116998996754004,0
Architect adversarial,untwirled,depolarizing,0.05,-1.116998996754004,0
Architect adversarial,untwirled,amplitude_damping,0.0,-1.116998996754004,0
Architect adversarial,untwirled,amplitude_damping,0.01,-1.116998996754004,0
Architect adversarial,untwirled,amplitude_damping,0.02,-1.116998996754004,0
Architect adversarial,untwirled,amplitude_damping,0.05,-0.34368435558011523,0
Architect adversarial,untwirled,coherent_overrotation,0.0,-1.116998996754004,0
Architect adversarial,untwirled,coherent_overrotation,0.01,-1.116998996754004,0
Architect adversarial,untwirled,coherent_overrotation,0.02,-1.1169989967540037,0
Architect adversarial,untwirled,coherent_overrotation,0.05,-1.1169989967540035,0
Architect adversarial,untwirled,readout,0.0,-1.116998996754004,0
Architect adversarial,untwirled,readout,0.01,-1.116998996754004,0
Architect adversarial,untwirled,readout,0.02,-1.116998996754004,0
Architect adversarial,untwirled,readout,0.05,0.7199689944489798,0
Architect adversarial,twirled,depolarizing,0.0,-1.116998996754004,0
Architect adversarial,twirled,depolarizing,0.01,-1.116998996754004,0
Architect adversarial,twirled,depolarizing,0.02,-1.116998996754004,0
Architect adversarial,twirled,depolarizing,0.05,-1.116998996754004,0
Architect adversarial,twirled,amplitude_damping,0.0,-1.116998996754004,0
Architect adversarial,twirled,amplitude_damping,0.01,-1.116998996754004,0
Architect adversarial,twirled,amplitude_damping,0.02,-1.116998996754004,0
Architect adversarial,twirled,amplitude_damping,0.05,-1.116998996754004,0
Architect adversarial,twirled,coherent_overrotation,0.0,-1.116998996754004,0
Architect adversarial,twirled,coherent_overrotation,0.01,-1.116998996754004,0
Architect adversarial,twirled,coherent_overrotation,0.02,-1.1169989967540037,0
Architect adversarial,twirled,coherent_overrotation,0.05,-1.1169989967540035,0
Architect adversarial,twirled,readout,0.0,-1.116998996754004,0
Architect adversarial,twirled,readout,0.01,-1.116998996754004,0
Architect adversarial,twirled,readout,0.02,-1.116998996754004,0
Architect adversarial,twirled,readout,0.05,-1.116998996754004,0
Architect adversarial,untwirled,depolarizing,0.0,-1.1169989967540044,1
Architect adversarial,untwirled,depolarizing,0.01,-1.1169989967540044,1
Architect adversarial,untwirled,depolarizing,0.02,-1.1169989967540044,1
Architect adversarial,untwirled,depolarizing,0.05,-0.524615555364347,1
Architect adversarial,untwirled,amplitude_damping,0.0,-1.1169989967540044,1
Architect adversarial,untwirled,amplitude_damping,0.01,-1.1169989967540044,1
Architect adversarial,untwirled,amplitude_damping,0.02,-1.1169989967540042,1
Architect adversarial,untwirled,amplitude_damping,0.05,-1.116998996754004,1
Architect adversarial,untwirled,coherent_overrotation,0.0,-1.1169989967540044,1
Architect adversarial,untwirled,coherent_overrotation,0.01,-1.1169989967540035,1
Architect adversarial,untwirled,coherent_overrotation,0.02,-1.1169989967540037,1
Architect adversarial,untwirled,coherent_overrotation,0.05,-1.1169989967540044,1
Architect adversarial,untwirled,readout,0.0,-1.1169989967540044,1
Architect adversarial,untwirled,readout,0.01,-1.1169989967540044,1
Architect adversarial,untwirled,readout,0.02,-1.1169989967540044,1
Architect adversarial,untwirled,readout,0.05,-0.524615555364347,1
Architect adversarial,twirled,depolarizing,0.0,-1.1169989967540044,1
Architect adversarial,twirled,depolarizing,0.01,-1.1169989967540044,1
Architect adversarial,twirled,depolarizing,0.02,-1.1169989967540044,1
Architect adversarial,twirled,depolarizing,0.05,-1.1169989967540044,1
Architect adversarial,twirled,amplitude_damping,0.0,-1.1169989967540044,1
Architect adversarial,twirled,amplitude_damping,0.01,-1.1169989967540044,1
Architect adversarial,twirled,amplitude_damping,0.02,-1.1169989967540042,1
Architect adversarial,twirled,amplitude_damping,0.05,-1.1169989967540042,1
Architect adversarial,twirled,coherent_overrotation,0.0,-1.1169989967540044,1
Architect adversarial,twirled,coherent_overrotation,0.01,-1.1169989967540035,1
Architect adversarial,twirled,coherent_overrotation,0.02,-1.1169989967540037,1
Architect adversarial,twirled,coherent_overrotation,0.05,-1.1169989967540042,1
Architect adversarial,twirled,readout,0.0,-1.1169989967540044,1
Architect adversarial,twirled,readout,0.01,-1.1169989967540044,1
Architect adversarial,twirled,readout,0.02,-1.1169989967540044,1
Architect adversarial,twirled,readout,0.05,-1.1169989967540044,1
