run_idx,circuit_type,attacked_fidelity
0,vanilla,0.7417376935482024
0,vanilla,0.766731023788452
0,vanilla,0.7776577174663541
0,vanilla,0.7400490939617156
0,vanilla,0.7649803161621092
0,vanilla,0.7164128422737122
0,vanilla,0.7417376935482024
0,vanilla,0.704947918653488
0,vanilla,0.7286966741085051
0,vanilla,0.7278234660625457
0,vanilla,0.7405290603637693
0,vanilla,0.7400490939617156
0,vanilla,0.766731023788452
0,vanilla,0.7164129614830017
0,vanilla,0.7659159302711486
0,vanilla,0.7669485509395599
0,vanilla,0.740049213171005
0,vanilla,0.7413440644741057
0,vanilla,0.7409224212169646
0,vanilla,0.7302724719047546
0,vanilla,0.7164128720760344
0,vanilla,0.7286387383937835
0,vanilla,0.7438552975654601
0,vanilla,0.7400490939617156
0,vanilla,0.7302725017070768
0,vanilla,0.7641070485115048
0,vanilla,0.727823495864868
0,vanilla,0.7425526976585387
0,vanilla,0.7172861397266388
0,vanilla,0.7671827673912046
0,vanilla,0.7540213763713836
0,vanilla,0.7294272780418395
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,robust,0.7912706434726713
0,quantumnas,0.8872353881597518
0,quantumnas,0.7951459288597106
0,quantumnas,0.8763011097908019
0,quantumnas,0.8956693112850189
0,quantumnas,0.8316233307123182
0,quantumnas,0.7913004010915755
0,quantumnas,0.857660874724388
0,quantumnas,0.8181911706924436
0,quantumnas,0.8577858805656433
0,quantumnas,0.8948081433773039
0,quantumnas,0.8183409571647642
0,quantumnas,0.8661051094532011
0,quantumnas,0.8370151966810225
0,quantumnas,0.790125176310539
0,quantumnas,0.903715059161186
0,quantumnas,0.8955782502889631
0,quantumnas,0.9046978801488874
0,quantumnas,0.8589702695608139
0,quantumnas,0.830206364393234
0,quantumnas,0.8751886188983916
0,quantumnas,0.8443986773490904
0,quantumnas,0.8372308760881424
0,quantumnas,0.7761570662260054
0,quantumnas,0.8872353881597518
0,quantumnas,0.9036708325147628
0,quantumnas,0.9035362452268598
0,quantumnas,0.8093573600053785
0,quantumnas,0.8948081731796262
0,quantumnas,0.9035362452268598
0,quantumnas,0.836788311600685
0,quantumnas,0.8445041477680205
0,quantumnas,0.8585100322961806
1,vanilla,0.7523330450057982
1,vanilla,0.7171736955642699
1,vanilla,0.7065517604351043
1,vanilla,0.7523330450057982
1,vanilla,0.7278236150741576
1,vanilla,0.7441273927688598
1,vanilla,0.7649804055690763
1,vanilla,0.704947918653488
1,vanilla,0.7278234660625457
1,vanilla,0.72869673371315
1,vanilla,0.7286385297775267
1,vanilla,0.7294537723064421
1,vanilla,0.7304474711418151
1,vanilla,0.7649803161621092
1,vanilla,0.7278234660625457
1,vanilla,0.766309469938278
