method,variant,noise_family,rate,energy,seed
RL,untwirled,coherent_overrotation,0.1,2.2149986458706983,2
RL,untwirled,readout,0.0,2.21499862973333,2
RL,untwirled,readout,0.01,2.21499862973333,2
RL,untwirled,readout,0.02,2.21499862973333,2
RL,untwirled,readout,0.05,2.403554081444907,2
RL,untwirled,readout,0.1,2.21499862973333,2
RL,mitigated,depolarizing,0.0,2.2149989583803658,2
RL,mitigated,depolarizing,0.01,2.7142974463695797,2
RL,mitigated,depolarizing,0.02,2.2778511613501986,2
RL,mitigated,depolarizing,0.05,1.4495898532750255,2
RL,mitigated,depolarizing,0.1,2.4033377410634342,2
RL,mitigated,amplitude_damping,0.0,2.2149994563730697,2
RL,mitigated,amplitude_damping,0.01,2.1050084576807238,2
RL,mitigated,amplitude_damping,0.02,3.3556345250462565,2
RL,mitigated,amplitude_damping,0.05,3.3958128585392733,2
RL,mitigated,amplitude_damping,0.1,3.6666364830872578,2
RL,mitigated,coherent_overrotation,0.0,2.2149990699741586,2
RL,mitigated,coherent_overrotation,0.01,2.2149989604144142,2
RL,mitigated,coherent_overrotation,0.02,2.214999456661391,2
RL,mitigated,coherent_overrotation,0.05,2.2149996925791124,2
RL,mitigated,coherent_overrotation,0.1,2.2149992481805314,2
RL,mitigated,readout,0.0,2.214998960063334,2
RL,mitigated,readout,0.01,2.1364350689178515,2
RL,mitigated,readout,0.02,2.9323944243776374,2
RL,mitigated,readout,0.05,2.310567610152736,2
RL,mitigated,readout,0.1,1.0922357806702552,2
RL,untwirled,depolarizing,0.0,2.2149986297333286,3
RL,untwirled,depolarizing,0.01,2.2149986297333286,3
RL,untwirled,depolarizing,0.02,2.214998629733329,3
RL,untwirled,depolarizing,0.05,0.6596225474921211,3
RL,untwirled,depolarizing,0.1,2.2150027584772167,3
RL,untwirled,amplitude_damping,0.0,2.2149986297333286,3
RL,untwirled,amplitude_damping,0.01,2.2149986297594983,3
RL,untwirled,amplitude_damping,0.02,2.214998629839511,3
RL,untwirled,amplitude_damping,0.05,2.2149986304281573,3
RL,untwirled,amplitude_damping,0.1,2.214998629733329,3
RL,untwirled,coherent_overrotation,0.0,2.2149986297333286,3
RL,untwirled,coherent_overrotation,0.01,2.2149986307490095,3
RL,untwirled,coherent_overrotation,0.02,2.2149986337950494,3
RL,untwirled,coherent_overrotation,0.05,2.214998655075295,3
RL,untwirled,coherent_overrotation,0.1,2.21499873047718,3
RL,untwirled,readout,0.0,2.2149986297333286,3
RL,untwirled,readout,0.01,2.2149986297333286,3
RL,untwirled,readout,0.02,2.2149986297333286,3
RL,untwirled,readout,0.05,0.6041093690737607,3
RL,untwirled,readout,0.1,2.2149986297333286,3
RL,mitigated,depolarizing,0.0,2.214998297704566,3
RL,mitigated,depolarizing,0.01,1.0745821521698202,3
RL,mitigated,depolarizing,0.02,1.4788379095146542,3
RL,mitigated,depolarizing,0.05,3.605959493299617,3
RL,mitigated,depolarizing,0.1,-0.5304960745373908,3
RL,mitigated,amplitude_damping,0.0,2.215002750710854,3
RL,mitigated,amplitude_damping,0.01,1.2340332546419943,3
RL,mitigated,amplitude_damping,0.02,1.9207078847766437,3
RL,mitigated,amplitude_damping,0.05,5.643106466552301,3
RL,mitigated,amplitude_damping,0.1,3.5470716913608142,3
RL,mitigated,coherent_overrotation,0.0,2.2150000129477156,3
RL,mitigated,coherent_overrotation,0.01,2.215001379419194,3
RL,mitigated,coherent_overrotation,0.02,2.214998344737299,3
RL,mitigated,coherent_overrotation,0.05,2.215003772007215,3
RL,mitigated,coherent_overrotation,0.1,2.215000420483995,3
RL,mitigated,readout,0.0,2.2149962282241527,3
RL,mitigated,readout,0.01,2.9997739599144126,3
RL,mitigated,readout,0.02,1.01617599476665,3
RL,mitigated,readout,0.05,3.1430706987263792,3
