method,variant,noise_family,energy,seed
Architect adversarial,untwirled,amplitude_damping,-0.5245958290032076,0
Architect adversarial,untwirled,coherent_overrotation,-0.5245958290032074,0
Architect adversarial,untwirled,readout,-0.5245958290032077,0
Architect adversarial,mitigated,clean,-0.5304960745373908,0
Architect adversarial,mitigated,depolarizing,-0.5304960745373908,0
Architect adversarial,mitigated,amplitude_damping,-0.5304960745373908,0
Architect adversarial,mitigated,coherent_overrotation,0.7266872780577208,0
Architect adversarial,mitigated,readout,1.0401864336357534,0
Architect adversarial,untwirled,clean,-0.5245958290032077,1
Architect adversarial,untwirled,depolarizing,-0.5245958290032078,1
Architect adversarial,untwirled,amplitude_damping,-0.5245958290032076,1
Architect adversarial,untwirled,coherent_overrotation,-0.5245958290032076,1
Architect adversarial,untwirled,readout,-0.5245958290032076,1
Architect adversarial,mitigated,clean,-0.5245958290032068,1
Architect adversarial,mitigated,depolarizing,-0.5245958290032068,1
Architect adversarial,mitigated,amplitude_damping,-0.5304960745373908,1
Architect adversarial,mitigated,coherent_overrotation,-0.5245958290032068,1
Architect adversarial,mitigated,readout,0.2911252434301124,1
Architect adversarial,untwirled,clean,-0.5245958290032074,2
Architect adversarial,untwirled,depolarizing,-0.5245958290032078,2
Architect adversarial,untwirled,amplitude_damping,-0.5245958290032076,2
Architect adversarial,untwirled,coherent_overrotation,-0.5245958290032076,2
Architect adversarial,untwirled,readout,-0.5245958290032078,2
Architect adversarial,mitigated,clean,-0.5298160391573007,2
Architect adversarial,mitigated,depolarizing,-0.013422311458777656,2
Architect adversarial,mitigated,amplitude_damping,0.19238863334651593,2
Architect adversarial,mitigated,coherent_overrotation,0.4882719311138215,2
Architect adversarial,mitigated,readout,1.1124563139697718,2
Architect adversarial,untwirled,clean,-0.5245958290032078,3
Architect adversarial,untwirled,depolarizing,-0.5245958290032077,3
Architect adversarial,untwirled,amplitude_damping,-0.5245958290032074,3
Architect adversarial,untwirled,coherent_overrotation,-0.5245958290032077,3
Architect adversarial,untwirled,readout,-0.5245958290032078,3
Architect adversarial,mitigated,clean,0.10418797818188112,3
Architect adversarial,mitigated,depolarizing,0.2623211945666539,3
Architect adversarial,mitigated,amplitude_damping,0.4786660823640986,3
Architect adversarial,mitigated,coherent_overrotation,2.2466094989474406,3
Architect adversarial,mitigated,readout,0.8690132039479894,3
Architect adversarial,untwirled,clean,-0.5245958290032078,4
Architect adversarial,untwirled,depolarizing,-0.5245958290032078,4
Architect adversarial,untwirled,amplitude_damping,-0.5245958290032078,4
Architect adversarial,untwirled,coherent_overrotation,-0.5245958290032076,4
Architect adversarial,untwirled,readout,-0.5245958290032078,4
Architect adversarial,mitigated,clean,-0.5304960745373908,4
Architect adversarial,mitigated,depolarizing,0.16193717035176022,4
Architect adversarial,mitigated,amplitude_damping,-0.1326351094869641,4
Architect adversarial,mitigated,coherent_overrotation,0.08943426560350821,4
Architect adversarial,mitigated,readout,0.41342605022206796,4
