method,variant,noise_family,rate,energy,seed
RL,untwirled,depolarizing,0.0,0.6362677262171227,0
RL,untwirled,depolarizing,0.01,0.6362677262171227,0
RL,untwirled,depolarizing,0.02,0.9922072704750007,0
RL,untwirled,depolarizing,0.05,0.6362677262171227,0
RL,untwirled,depolarizing,0.1,0.07423206830740425,0
RL,untwirled,amplitude_damping,0.0,0.6362677262171227,0
RL,untwirled,amplitude_damping,0.01,0.9922072704750007,0
RL,untwirled,amplitude_damping,0.02,0.63626772624923,0
RL,untwirled,amplitude_damping,0.05,0.6362677264272275,0
RL,untwirled,amplitude_damping,0.1,0.6362677262171227,0
RL,untwirled,coherent_overrotation,0.0,0.6362677262171227,0
RL,untwirled,coherent_overrotation,0.01,0.6362677265242508,0
RL,untwirled,coherent_overrotation,0.02,0.6362677274453318,0
RL,untwirled,coherent_overrotation,0.05,0.6362677338801745,0
RL,untwirled,coherent_overrotation,0.1,0.6362677566806634,0
RL,untwirled,readout,0.0,0.6362677262171227,0
RL,untwirled,readout,0.01,0.6362677262171227,0
RL,untwirled,readout,0.02,0.9922072704750007,0
RL,untwirled,readout,0.05,0.9922072704750007,0
RL,untwirled,readout,0.1,0.9922072704750007,0
RL,mitigated,depolarizing,0.0,0.636267412947012,0
RL,mitigated,depolarizing,0.01,1.0218683804869366,0
RL,mitigated,depolarizing,0.02,0.8970878035352012,0
RL,mitigated,depolarizing,0.05,1.1344714952076533,0
RL,mitigated,depolarizing,0.1,1.2459330567444202,0
RL,mitigated,amplitude_damping,0.0,0.6362683525358629,0
RL,mitigated,amplitude_damping,0.01,0.6955925355466207,0
RL,mitigated,amplitude_damping,0.02,0.6959079330096101,0
RL,mitigated,amplitude_damping,0.05,0.012874794018053894,0
RL,mitigated,amplitude_damping,0.1,1.2309859610611715,0
RL,mitigated,coherent_overrotation,0.0,0.6362685545757059,0
RL,mitigated,coherent_overrotation,0.01,0.6362692843405233,0
RL,mitigated,coherent_overrotation,0.02,0.6362690470238206,0
RL,mitigated,coherent_overrotation,0.05,0.6362694378323683,0
RL,mitigated,coherent_overrotation,0.1,0.6362689277063865,0
RL,mitigated,readout,0.0,0.6362681444577202,0
RL,mitigated,readout,0.01,0.7548223315795504,0
RL,mitigated,readout,0.02,-0.06590926466153926,0
RL,mitigated,readout,0.05,1.3436859611682632,0
RL,mitigated,readout,0.1,1.8596256773859527,0
RL,untwirled,depolarizing,0.0,0.6362677262171227,1
RL,untwirled,depolarizing,0.01,0.6362677262171227,1
RL,untwirled,depolarizing,0.02,0.6362677262171227,1
RL,untwirled,depolarizing,0.05,0.9922072704750007,1
RL,untwirled,depolarizing,0.1,0.8142375133477913,1
RL,untwirled,amplitude_damping,0.0,0.6362677262171227,1
RL,untwirled,amplitude_damping,0.01,0.6362748185413356,1
RL,untwirled,amplitude_damping,0.02,0.636298799669191,1
RL,untwirled,amplitude_damping,0.05,0.8328924170282993,1
RL,untwirled,amplitude_damping,0.1,0.63794681499571,1
RL,untwirled,coherent_overrotation,0.0,0.6362677262171227,1
